speechiness,instrumentalness,acousticness,energy,danceability,valence,id,cluster
0.287,0.0184,0.00385,0.956,0.667,0.17,76YXmewvHFse7tBeOTtSx3,2
0.258,0.000195,0.203,0.386,0.543,0.6,6PoD6ZYOAMkCJAbpAgpT1T,2
0.0341,8.43e-06,0.517,0.402,0.565,0.538,11pocbaq7T3ouJd4oa64Xn,4
0.0285,1.85e-06,0.628,0.707,0.661,0.385,2hNQDbZcN3vqRAuwiz7poI,4
0.0322,4.09e-06,0.334,0.43,0.528,0.304,7iinMLIDWw5QA7d6x0d5HJ,4
0.139,0.0,0.0135,0.711,0.899,0.126,7itIhLBlKcpdaSqXRsSuW3,0
0.027,0.00669,0.00354,0.68,0.564,0.53,06YDsNc6mrl60G2FZeUOmE,0
0.0802,0.0,0.142,0.68,0.788,0.742,4KQODLeXGCDfixEiUX6aDF,3
0.0359,0.0116,0.0213,0.746,0.65,0.385,3s32YmunFgfXVWgLRKLdKm,0
0.0641,1.9e-06,0.157,0.709,0.708,0.511,1YWr18dWRmuvPgAsPBsOow,3
0.0664,0.174,0.144,0.649,0.715,0.737,3Mi8teeczekyPhn5lgW8li,3
0.239,7.64e-06,0.0528,0.714,0.878,0.636,3wHRgXJJTTwS2CkusTpn56,2
0.249,0.0,0.00368,0.531,0.682,0.388,2IEAEeX4LtxiYPdqt0C08y,2
0.183,0.000608,0.00266,0.961,0.582,0.393,2YiQL9Aa4PmGF8oMFADzzA,0
0.0476,0.915,0.363,0.372,0.699,0.831,11sfRkHdvsop5DdHVmGpt1,6
0.0826,0.00764,0.0417,0.831,0.376,0.289,0KmC4jFH8axcJqKvOTBXeX,0
0.0506,0.0,0.392,0.662,0.735,0.605,3iwKWIaEZ5jafPYZZSCDLz,3
0.0385,0.273,0.737,0.27,0.372,0.0852,6EoI0gxW5egUN3SFxgQb7H,5
0.0315,0.0,0.0598,0.741,0.662,0.619,4N27EhvsqQ0FWVrPS4trAS,3
0.133,0.0,0.525,0.466,0.609,0.332,4x83cYbV42NT0z1QkTj4TN,4
0.055,9.22e-06,0.86,0.272,0.617,0.301,6rN8cR7iEcC1hAlHF4UpSN,4
0.0649,0.0,0.309,0.613,0.738,0.637,1muiS9jrDUTADqIE7yKuYV,3
0.244,3.8e-06,0.0693,0.576,0.404,0.489,3vHKqg3WDgtWA5unl5layh,2
0.0403,0.552,0.00332,0.902,0.611,0.375,3gB0fkEzOzV0kEWuQBFweu,6
0.344,0.0,0.0922,0.81,0.667,0.829,2I0aHZjCXh6UjMHIOqugYF,2
0.347,2.79e-05,0.681,0.473,0.608,0.207,4XwVObmSna9zn4hOtWrptC,2
0.0444,0.0,0.000169,0.688,0.593,0.145,2gSPHSdf0vrk2Psxmn8sUn,0
0.0328,0.000779,0.000996,0.631,0.524,0.243,49xISBZpODXRwd7vVxGL93,0
0.0561,0.0,0.306,0.575,0.78,0.915,5F6gniXisSbOKtfgIJIKoD,3
0.0467,0.0,0.0324,0.864,0.484,0.425,2Iu5OBDudGv5B0qfKKKbGm,0
0.313,0.0,0.00543,0.729,0.943,0.845,5a72KEfxqoMjzI0sv1By3w,2
0.118,0.00229,0.485,0.577,0.414,0.78,7blLoD6TgyXy2tiTtbOLsI,4
0.148,2.41e-06,0.00218,0.938,0.499,0.494,0D5le1perOPiaFYmNak8Kp,0
0.0588,0.0451,0.198,0.74,0.679,0.674,3ne8gcrNZD2lJihBGl5RC5,3
0.0778,0.000287,0.00476,0.805,0.77,0.964,0uoaYBn3prfGyWQR59wkeQ,3
0.0635,0.89,0.0986,0.672,0.825,0.816,06vDTKSGYDtZpXt8q0S5Zb,6
0.128,0.0,0.355,0.627,0.524,0.423,4QI32cLrF64ZTPfIHwIH5w,4
0.213,0.0,0.424,0.646,0.349,0.325,0AEDkc8eq71U6mNRW034zz,0
0.253,1.95e-05,0.106,0.549,0.766,0.678,0tBoaUMgYe6JuDHsTvVSpP,2
0.105,0.0,0.193,0.51,0.669,0.642,0teFeL0RvDeDbpmi1YZlFt,3
0.345,0.0,0.302,0.611,0.842,0.723,3zMp6WgIRFof3uq6B43iQO,2
0.0421,0.000962,0.0224,0.812,0.733,0.409,39C3SOi6UMD9rHeXAQPNa9,0
0.15,0.0,0.00173,0.733,0.797,0.445,71jQDHJXd7RZ3MbgqVjQeg,3
0.0292,0.0,0.0633,0.497,0.436,0.495,5GKs69j8y4MajGkizLNFCK,0
0.248,0.0,0.18,0.665,0.614,0.852,3Bey9kH0UEORyDMxT7Oph8,2
0.0588,0.0,0.314,0.367,0.816,0.413,1SRw5p2lVAi7RGlHEmZg66,4
0.0969,0.0,0.22,0.727,0.695,0.418,5SBNMriy9hxF4I8iyooBGx,0
0.129,0.0,0.0368,0.603,0.799,0.282,4jCu9I3jXfKLr48r98RyVg,0
0.0781,0.0166,0.33,0.624,0.725,0.32,3p3tezl8FJHkm68tczR0yP,4
0.0372,0.0,0.382,0.61,0.805,0.805,7uZ5C69LskNw0B4szvVWI5,3
0.045,0.0,0.29,0.487,0.392,0.38,5zyaXeckgqmCJso44ma5gK,4
0.0388,0.000124,0.000152,0.84,0.58,0.562,1RKP6D6QvUStrPP5TvPnXA,3
0.0383,0.533,0.0127,0.847,0.533,0.494,6dmZu0IVmbT1rDIiYiRchg,6
0.0328,1.91e-06,0.00265,0.691,0.562,0.483,0AQ3u9Uzk3IG5r7sjYH0Cu,0
0.0709,0.0,0.0412,0.706,0.812,0.621,4xYlpJPENfM4DT0rUYFqSP,3
0.059,8.49e-05,0.00638,0.895,0.51,0.418,24TzmWrz2HHWV3UO5PlvNb,0
0.562,0.0,0.0583,0.54,0.592,0.223,4E5gMun6nSKQJg5EqU2QhH,2
0.0787,0.0508,0.000837,0.97,0.613,0.55,4GUxUmge58qGkX81nD2RRe,3
0.061,8.63e-06,0.559,0.468,0.728,0.691,4PZXDDm2BVEccltAEGHuJp,4
0.0884,0.0878,0.00712,0.874,0.863,0.811,6OHQzBYaXeF6FVu8gxLMkE,3
0.0426,0.000673,0.0529,0.617,0.468,0.432,6KkeXDWP0gvoJkouKmF6De,0
0.0417,0.000187,0.695,0.381,0.463,0.216,7E6jdcJTGDpYmjHFnXu3vG,4
0.046,1.74e-05,0.0555,0.61,0.837,0.882,0ETmDfpRKtQIC45COn64V9,3
0.0448,0.0,0.126,0.873,0.605,0.485,09pr49bPWb2OKkDSvxKn2s,0
0.03,0.0005,0.169,0.489,0.479,0.237,0sNOQIiJEuEINXFmtZYXam,0
0.0367,0.0,0.453,0.458,0.543,0.315,35w6sOAI3DDG4UqeWqkQJT,4
0.156,0.181,0.456,0.412,0.625,0.322,1UxiPpx3EC2SqFmGoqlXOy,4
