danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4
0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,audio_features,5BbdKBZO0TH0GhfxUfyhL9,spotify:track:5BbdKBZO0TH0GhfxUfyhL9,https://api.spotify.com/v1/tracks/5BbdKBZO0TH0GhfxUfyhL9,https://api.spotify.com/v1/audio-analysis/5BbdKBZO0TH0GhfxUfyhL9,162053,4
0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,audio_features,5BmB3OaQyYXCqRyN8iR2Yi,spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,https://api.spotify.com/v1/tracks/5BmB3OaQyYXCqRyN8iR2Yi,https://api.spotify.com/v1/audio-analysis/5BmB3OaQyYXCqRyN8iR2Yi,123673,4
0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,audio_features,4WuOWVnAqvEQxgSRrspBgt,spotify:track:4WuOWVnAqvEQxgSRrspBgt,https://api.spotify.com/v1/tracks/4WuOWVnAqvEQxgSRrspBgt,https://api.spotify.com/v1/audio-analysis/4WuOWVnAqvEQxgSRrspBgt,207307,4
0.609,0.503,8,-8.407,0,0.393,0.217,2.22e-06,0.121,0.502,168.363,audio_features,7E68rHH6CrKbBYPfpiCLiQ,spotify:track:7E68rHH6CrKbBYPfpiCLiQ,https://api.spotify.com/v1/tracks/7E68rHH6CrKbBYPfpiCLiQ,https://api.spotify.com/v1/audio-analysis/7E68rHH6CrKbBYPfpiCLiQ,200000,4
0.779,0.684,8,-4.963,1,0.108,0.181,0.0,0.0691,0.526,124.034,audio_features,5ht9obvnnWeW4eoRtPAoQD,spotify:track:5ht9obvnnWeW4eoRtPAoQD,https://api.spotify.com/v1/tracks/5ht9obvnnWeW4eoRtPAoQD,https://api.spotify.com/v1/audio-analysis/5ht9obvnnWeW4eoRtPAoQD,174240,4
0.898,0.64,5,-8.796,0,0.255,0.0212,0.0,0.0919,0.68,149.988,audio_features,2i2qDe3dnTl6maUE31FO7c,spotify:track:2i2qDe3dnTl6maUE31FO7c,https://api.spotify.com/v1/tracks/2i2qDe3dnTl6maUE31FO7c,https://api.spotify.com/v1/audio-analysis/2i2qDe3dnTl6maUE31FO7c,153600,4
0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4
0.511,0.541,10,-10.1,0,0.421,0.0769,0.0,0.1,0.248,101.228,audio_features,7hrcHfHWaLhooHzGltlCYB,spotify:track:7hrcHfHWaLhooHzGltlCYB,https://api.spotify.com/v1/tracks/7hrcHfHWaLhooHzGltlCYB,https://api.spotify.com/v1/audio-analysis/7hrcHfHWaLhooHzGltlCYB,235711,3
0.603,0.667,10,-8.716,0,0.367,0.0861,0.0,0.0745,0.655,141.561,audio_features,12Us8e6NFesdkXKf4StU1I,spotify:track:12Us8e6NFesdkXKf4StU1I,https://api.spotify.com/v1/tracks/12Us8e6NFesdkXKf4StU1I,https://api.spotify.com/v1/audio-analysis/12Us8e6NFesdkXKf4StU1I,186697,4
0.818,0.526,1,-8.078,1,0.277,0.0103,0.0,0.146,0.531,125.061,audio_features,0UMqDSXk4xvoCNRrIEPf7T,spotify:track:0UMqDSXk4xvoCNRrIEPf7T,https://api.spotify.com/v1/tracks/0UMqDSXk4xvoCNRrIEPf7T,https://api.spotify.com/v1/audio-analysis/0UMqDSXk4xvoCNRrIEPf7T,214594,4
0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,audio_features,2Hh3ETdQKrmSI3QS0hme7g,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4
0.852,0.487,2,-7.991,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,audio_features,0T0vseuNB4KC8opkrCLNbc,spotify:track:0T0vseuNB4KC8opkrCLNbc,https://api.spotify.com/v1/tracks/0T0vseuNB4KC8opkrCLNbc,https://api.spotify.com/v1/audio-analysis/0T0vseuNB4KC8opkrCLNbc,261825,4
