danceability,tempo,energy,valence,mode,id,cluster
0.31,157.343,0.0352,0.148,0,3ZvBA6TQA4CTOZNOyxou90,7
0.297,171.767,0.0126,0.386,1,7hVcd9PDdO0xK8vE3WQqnV,2
0.496,73.191,0.0317,0.256,0,49VzYsJHrITQOn28WBMztb,9
0.442,83.794,0.0719,0.326,0,4uHzzAb1p6gK5unlp64Vrg,9
0.377,164.635,0.0226,0.159,1,5xm1Ot6JDIp5r9SFM6XQrW,2
0.642,101.97,0.0202,0.174,1,6axlKJ7OnW6zxM16Hxwbb0,5
0.384,62.479,0.0189,0.0834,1,5hFkGfx038V0LhqI0Uff2J,14
0.405,75.78,0.0187,0.229,1,6rvmhiAd5jtT5CzLIcnj4p,14
0.225,67.988,0.00332,0.394,1,6eir7TDacjXjFscPxDFHC4,14
0.412,151.381,0.0289,0.27,1,4uoJsS8jQmsHmdoORGzxh0,2
0.344,94.414,0.0893,0.178,1,597H3V2av5dnxNcIDa4Yrk,14
0.408,126.995,0.0632,0.256,0,02VydYQOYaLGZX2MWoCCQ8,7
0.265,99.932,0.0119,0.35,1,42cskWMuFydbI9f9um1sTj,14
0.414,103.102,0.0257,0.21,1,5Y223UTPJjOIDVS2vs73g0,14
0.495,69.216,0.084,0.453,1,5TRzmeTTbtVrsblB0HTZn7,5
0.47,113.418,0.0593,0.178,1,63oFS9JTsvadCXUqwqA7p0,2
0.428,70.853,0.0253,0.175,1,763DOeT2XIrzMjbC3LLF5i,14
0.441,107.794,0.018,0.204,0,70pC9IQb39VDNUm3Uio5kD,7
0.481,100.305,0.0246,0.127,1,3x16lncPJzr2VDTtVrPpgj,14
0.396,100.61,0.0281,0.296,1,10qZCmeusg6BbdHDTMADpr,14
0.371,131.656,0.0698,0.194,0,63PdrrV4D4DtKpB4JEKMTJ,7
0.321,90.174,0.0269,0.193,1,7zVpXNJWZTx9VFGsASdvDb,14
0.402,67.394,0.0185,0.237,0,6tw5ZIanXzO4ufu4abt7Vn,9
0.439,113.805,0.0237,0.16,1,4EIbWNNAT3TqvzflNhGKyU,2
0.259,205.672,0.0424,0.3,0,75XNNOrKVTwJ1lEGbE1a8q,7
0.375,117.282,0.0662,0.214,0,0vebajCQqWh9EQ5wAYguqo,7
0.663,120.107,0.0132,0.327,1,1g3qZv1GGqwMBrXzogTpTx,5
0.454,93.185,0.0783,0.221,0,502QNU8kHHhL4rA9ft0Jcl,9
0.39,107.079,0.0483,0.229,1,5Ooy87HjMYRxy5qiRNsilk,2
0.641,80.989,0.0114,0.483,1,7F6hlMdM7OrUw8C1W4pjAC,5
0.469,116.219,0.0029,0.509,1,3iTgM3cDPpZCQ4GL1pP0Ss,2
0.289,122.271,0.034,0.141,1,2QvgJkZmnXdozvMMgfohJp,2
0.355,65.235,0.011,0.124,1,4dHsrfybYMwR47LWYjLxR5,14
0.352,98.943,0.0464,0.339,1,0tL0JB08d5De5zBko245Y8,14
0.462,75.08,0.0404,0.125,1,3hy3BLtI2pYAGZOjNvg8Hy,14
0.412,170.149,0.0451,0.762,1,244BGt6n916G7NdoOUKSsX,2
0.445,75.396,0.0367,0.13,1,48Jivh6jAj87eK6lj3FtUo,14
0.278,133.389,0.0839,0.361,1,5opvuJQY6nSCwA0Wj42yC9,2
0.362,81.007,0.0317,0.329,1,6yFNVbbhoPzPmGCYZWlFcw,14
0.364,131.662,0.064,0.403,1,5Nx2GkAaDfh18aZ99OyctW,2
0.611,68.395,0.0126,0.263,1,4EQRrRdoQ8vC4ULe8Kygpw,5
