speechiness,instrumentalness,acousticness,liveness,loudness,id,cluster
0.0359,0.0443,0.811,0.173,-8.928,0v495WkHYR3mOSIMrw0fBZ,4
0.0736,2.45e-05,0.726,0.115,-9.861,2JHFr3SVvWSGoFKg3kvTgw,4
0.0433,0.939,0.993,0.102,-32.108,2YFtpiy2WoAQVQbM1SIwES,1
0.0517,0.948,0.996,0.106,-25.084,3VM35337X7Ro1tesUHnZ95,1
0.0423,0.912,0.992,0.103,-30.767,4xO3mTbZDnaDSJtRdgzXQc,1
0.0423,0.945,0.993,0.104,-28.197,2bjQvSk5T3A2dmnqqeRhzI,1
0.0387,0.937,0.994,0.0949,-20.698,0jSUVrvKQ0qF8ee1usL34M,1
0.0434,0.927,0.994,0.0879,-35.211,4516jKqIrGNIShWH3WBqmd,1
0.0361,0.933,0.984,0.111,-23.399,73uDJDqIcF5QQWXZ19rH8z,1
0.0404,0.928,0.994,0.105,-28.538,5M6q2VBF4KLF961xGLPFw9,1
0.0336,0.908,0.98,0.0978,-28.139,3ZvBA6TQA4CTOZNOyxou90,1
0.0442,0.913,0.994,0.0785,-27.76,7hVcd9PDdO0xK8vE3WQqnV,1
0.0479,0.954,0.995,0.105,-25.204,49VzYsJHrITQOn28WBMztb,1
0.0346,0.874,0.994,0.114,-28.528,4uHzzAb1p6gK5unlp64Vrg,1
